,area,perimeter,physiological_length,physiological_width,aspect_ratio,rectangularity,circularity,mean_r,mean_g,mean_b,stddev_r,stddev_g,stddev_b,contrast,correlation,inverse_difference_moments,entropy
0,197484.0,3479.0360382795334,1416,759,1.865612648221344,5.442182657835572,61.28948044220165,6.395666666666667,13.643413020833334,4.388006770833333,24.025329103133817,40.20093140501166,21.44841187827095,12.63965606694234,0.99766577281802,0.9117375851644554,1.6886892880991113
0,101248.0,2490.381811618805,1190,130,9.153846153846153,1.5279314159292035,61.25554645663876,7.049316145833333,9.232017708333334,10.876065625,33.81620502961949,37.38222055491552,46.47922962038006,8.137424082767671,0.997191134749598,0.9448180858455832,1.1937952652276942
0,86570.5,2290.6833270788193,1095,119,9.201680672268907,1.5051894120976546,60.61221900020086,3.4343026041666667,6.371511458333333,2.6447572916666666,19.975698947358936,29.057373993583756,19.27504973278957,8.553729373141717,0.9966100152522094,0.9590227075355221,0.8487580137747344
0,190214.0,2856.479352593422,1318,254,5.188976377952756,1.7599756064222403,42.89628677065061,7.670414583333334,13.303598958333334,6.049156770833333,28.82288535743978,40.2218451420474,26.948603797464493,8.440040958173972,0.9984187718969992,0.9143313455125823,1.673914550461146
0,227727.0,2917.248904109001,1324,286,4.629370629370629,1.6627979993588815,37.37080437772055,8.992027604166667,16.671172916666666,6.29428125,30.967157947359965,45.04019750732973,28.595326115105568,8.64143845786884,0.998567725124274,0.8986437535801611,1.9680816577699116
0,233724.0,3689.8097653388977,1434,953,1.5047219307450157,5.847076038404272,58.25116849099918,7.319240104166667,15.730615104166667,4.43293125,24.81753263038167,42.2213212701679,21.53426747630638,14.561432587793355,0.9977080828077644,0.8956539207197369,1.9571512610658195
0,258395.0,3543.6777395009995,1396,874,1.597254004576659,4.721856073066429,48.59866453079554,9.674848958333333,18.432271354166666,6.657214583333333,28.70796453672343,46.43166266942421,24.427573585665854,11.795340512326526,0.9981005317049454,0.884638910869112,2.1260150671280176
0,244401.0,3732.956951022148,1479,912,1.6217105263157894,5.518995421458996,57.01681907269026,9.033226041666667,16.534254166666667,6.9478442708333334,29.570095116465566,43.37797982783121,28.114027064807853,13.62787261044335,0.9979453873934241,0.8890179384430497,2.0701956961609427
0,223690.0,3142.3170071840286,1404,388,3.618556701030928,2.43529885108856,44.14214392077424,8.594645833333333,16.134782291666667,5.9357151041666665,28.13372567384623,43.99786719954565,24.565104341450155,12.593450470242825,0.997736977395857,0.896626529208551,1.8916949759897062
0,288345.5,3083.270324110985,1329,450,2.953333333333333,2.0740743309675373,32.969322883635975,9.552538020833333,19.346294791666665,6.716408333333334,27.72882559581335,45.99022483003598,24.64435095716523,10.302925338868578,0.9985952236775988,0.8743764564290214,2.2866094509302552
0,325751.5,3438.2248553037643,1371,771,1.7782101167315174,3.2449305682399006,36.28959546043101,10.793174479166666,23.0670171875,6.9855109375,28.372411551830304,50.8309288725943,23.943089925304864,13.031827812475722,0.9982728229807041,0.8556832424033218,2.5864715345382585
